title,isbn,isbn13,genre,pages
"a dance with dragons: after the feast (a song of ice and fire #5, part 2 of 2)",7466072,9780007466080.0,Fantasía,592
"a dance with dragons: dreams and dust (a song of ice and fire #5, part 1 of 2)",7466064,9780007466060.0,Fantasía,592
a dangerous fortune,440217490,9780440217500.0,Ficción histórica,560
"a dangerous path (warriors, #5)",60525657,9780060525650.0,Fantasía,320
a dark lure,,,Thriller/Misterio,320
"a darker shade of magic (shades of magic, #1)",765376458,9780765376460.0,Fantasía,400
"a darkness at sethanon (the riftwar saga, #4)",586066888,9780586066880.0,Fantasía,576
"a darkness more than night (harry bosch, #7; terry mccaleb, #2; harry bosch universe, #9)",446667900,9780446667910.0,Thriller/Misterio,512
a death in sweden,,,Thriller/Misterio,304
"a death in vienna (gabriel allon, #4)",141019085,9780141019090.0,Thriller/Misterio,448
a death in the family,375701230,9780375701240.0,Literatura clásica,339
"a deepness in the sky (zones of thought, #2)",812536355,9780812536360.0,Ciencia ficción,784
a different blue,1482658143,9781482658150.0,Juvenil (Young Adult - YA),296
"a dirty job (grim reaper, #1)",60590270,9780060590280.0,Fantasía,407
"a discovery of witches (all souls trilogy, #1)",670022411,9780670022410.0,Fantasía,579
a distant mirror:  the calamitous 14th century,345349571,9780345349580.0,Historia,677
"a dog's journey (a dog's purpose, #2)",765330539,9780765330540.0,Aventuras,336
a dog's life: the autobiography of a stray,439717000,9780439717010.0,Literatura infantil,208
"a dog's purpose (a dog's purpose, #1)",765326264,9780765326260.0,Aventuras,321
a doll's house,1406914835,9781406914830.0,Teatro,80
"a drink before the war (kenzie & gennaro, #1)",156029022,9780156029020.0,Thriller/Misterio,275
"a faint cold fear (grant county, #3)",60534052,9780060534060.0,Thriller/Misterio,400
a fall of marigolds,045141991X,9780451419910.0,Ficción histórica,432
a farewell to arms,99910101,9780099910110.0,Literatura clásica,332
"a fatal grace (chief inspector armand gamache, #2)",312352565,9780312352560.0,Thriller/Misterio,311
"a feast for crows (a song of ice and fire, #4)",055358202X,9780553582020.0,Fantasía,753
a fine balance,140003065X,9781400030650.0,Ficción histórica,603
"a fire upon the deep (zones of thought, #1)",812515285,9780812515280.0,Ciencia ficción,613
a fish out of water,394800230,9780394800230.0,Literatura infantil,64
"a fistful of charms (the hollows, #4)",60788194,9780060788190.0,Fantasía,512
a fraction of the whole,385521723,9780385521730.0,Desconocido,612
"a game of thrones (a song of ice and fire, #1)",553588486,9780553588480.0,Fantasía,694
"a game of thrones / a clash of kings (a song of ice and fire, #1-2)",,,Fantasía,1663
"a game of thrones: comic book, issue 1",,9780345536150.0,Fantasía,30
"a game of thrones: the graphic novel, vol. 1",044042321X,9780440423220.0,Fantasía,208
a game of you (the sandman #5),1563890933,9781563890930.0,Fantasía,192
a gate at the stairs,375409289,9780375409290.0,Desconocido,290
"a gathering of shadows (shades of magic, #2)",765376474,9780765376470.0,Fantasía,512
a gentleman in moscow,670026190,9780670026200.0,Ficción histórica,462
a girl like you,184756190X,9781847561910.0,Romance,432
a girl named zippy,965030067,9780965030070.0,Biografía/Autobiografía,260
"a girl of the limberlost (limberlost, #2)",1576469115,9781576469120.0,Literatura clásica,320
a god in ruins,316176532,9780316176540.0,Ficción histórica,480
a good man is hard to find and other stories,151365040,9780151365040.0,Literatura clásica,253
"a good yarn (blossom street, #2)",778322955,9780778322960.0,Romance,464
"a great deliverance (inspector lynley, #1)",553278029,9780553278030.0,Thriller/Misterio,368
"a great reckoning (chief inspector armand gamache, #12)",1250022134,9781250022130.0,Thriller/Misterio,400
"a great and terrible beauty (gemma doyle, #1)",689875347,9780689875340.0,Juvenil (Young Adult - YA),403
a grief observed,60652381,9780060652390.0,Religión y espiritualidad,76
"a grimm warning (the land of stories, #3)",316406813,9780316406820.0,Fantasía,448
a grown-up kind of pretty,446582352,9780446582350.0,Romance,368
a handful of dust,316926051,9780316926060.0,Literatura clásica,248
"a hat full of sky (discworld, #32; tiffany aching, #2)",055255264X,9780552552650.0,Fantasía,384
a head full of ghosts,62363239,9780062363240.0,Horror,286
a heartbreaking work of staggering genius,375725784,9780375725780.0,Biografía/Autobiografía,437
a hero of our time,014044176X,9780140441760.0,Literatura clásica,192
"a hidden fire (elemental mysteries, #1)",,2940013283250.0,Fantasía,336
a higher call: an incredible true story of combat and chivalry in the war-torn skies of world war ii,425252868,9780425252860.0,Historia,400
"a history of god: the 4,000-year quest of judaism, christianity, and islam",517223120,9780517223120.0,Religión y espiritualidad,496
a history of western philosophy,671201581,9780671201590.0,Filosofía,895
a history of the world in 6 glasses,802715524,9780802715520.0,Historia,320
a hologram for the king,193636574X,9781936365750.0,Desconocido,314
a home at the end of the world,312424086,9780312424080.0,Desconocido,342
a homemade life: stories and recipes from my kitchen table,1416551050,9781416551060.0,Cocina y gastronomía,368
a house for mr biswas,330487191,9780330487190.0,Literatura clásica,592
a house in the sky,1451651694,9781451651690.0,Biografía/Autobiografía,384
a hundred summers,039916216X,9780399162170.0,Ficción histórica,368
a hunger like no other (immortals after dark #2),1416509879,9781416509880.0,Romance,400
"a killing frost (tomorrow, #3)",439829127,9780439829120.0,Juvenil (Young Adult - YA),288
"a king's ransom (the 39 clues: cahills vs. vespers, #2)",545298407,9780545298410.0,Aventuras,240
"a kingdom of dreams (westmoreland, #1)",743474155,9780743474150.0,Romance,448
"a kiss for little bear (an i can read book) by minarik, else holmelund [1984]",64440508,9780064440510.0,Literatura infantil,32
a kiss in time,60874198,9780060874190.0,Juvenil (Young Adult - YA),304
"a kiss of shadows (merry gentry, #1)",345490657,9780345490650.0,Fantasía,480
a knight in shining armor,743457269,9780743457260.0,Romance,400
"a knight of the seven kingdoms (the tales of dunk and egg, #1-3)",345533488,9780345533490.0,Fantasía,368
"a knight of the word (word & void, #2)",345424646,9780345424650.0,Fantasía,432
a land more kind than home,62088149,9780062088150.0,Thriller/Misterio,320
"a leaf on the wind of all hallows (outlander, #8.5)",,,Ficción histórica,64
a lesson before dying,375702709,9780375702710.0,Literatura clásica,256
"a lick of frost (merry gentry, #6)",1423340418,9781423340420.0,Fantasía,384
a light in the attic,60513063,9780060513060.0,Poesía,176
"a light in the window (mitford years, #2)",1589190637,9781589190630.0,Religión y espiritualidad,464
"a lion among men (the wicked years, #3)",60548924,9780060548930.0,Fantasía,512
a little history of the world,300108834,9780300108840.0,Historia,284
a little life,385539258,9780385539260.0,Desconocido,720
a little princess,142437018,9780142437020.0,Literatura infantil,292
a little something different,1250061776,9781250061780.0,Romance,272
"a living nightmare (cirque du freak, #1)",316905712,9780316905720.0,Fantasía,256
a long walk to water: based on a true story,547251270,9780547251270.0,Juvenil (Young Adult - YA),128
a long way down,1594481938,9781594481930.0,Desconocido,352
a long way gone: memoirs of a boy soldier,374105235,9780374105240.0,Biografía/Autobiografía,229
a long way home,,9780670077040.0,Biografía/Autobiografía,288
"a long way from chicago (a long way from chicago, #1)",142401102,9780142401100.0,Juvenil (Young Adult - YA),148
"a lot like love (fbi/us attorney, #2)",425240169,9780425240170.0,Romance,320
a man called ove,1476738017,9781476738020.0,Desconocido,337
a man named dave (dave pelzer #3),452281903,9780452281900.0,Biografía/Autobiografía,352
a man without a country,081297736X,9780812977360.0,Ensayo,160
a man in full,553381334,9780553381340.0,Literatura clásica,742
a mango-shaped space,316058254,9780316058250.0,Juvenil (Young Adult - YA),208
a map of the world,385720106,9780385720110.0,Desconocido,432
a matter of honor,312933541,9780312933550.0,Thriller/Misterio,480
"a memory of light (wheel of time, #14)",765325950,9780765325950.0,Fantasía,912
a mercy,307264238,9780307264240.0,Ficción histórica,167
a midsummer night's dream,743477545,9780743477540.0,Teatro,272
a midsummer's nightmare,316084220,9780316084220.0,Juvenil (Young Adult - YA),256
a million little pieces,307276902,9780307276900.0,Biografía/Autobiografía,434
a million miles in a thousand years: what i learned while editing my life,785213066,9780785213060.0,Desarrollo personal,256
"a million suns (across the universe, #2)",159514398X,9781595143980.0,Ciencia ficción,388
"a modern witch (a modern witch, #1)",,,Fantasía,304
a modest proposal,1605977276,9781605977270.0,Ensayo,36
a modest proposal and other satirical works,486287599,9780486287590.0,Ensayo,112
a monster calls,1406311529,9781406311520.0,Fantasía,215
"a monstrous regiment of women (mary russell, #2)",6514944,9780006514950.0,Thriller/Misterio,416
"a morbid taste for bones (chronicles of brother cadfael, #1)",446400157,9780446400150.0,Thriller/Misterio,278
a mother's reckoning: living in the aftermath of tragedy,1101902760,9781101902770.0,Biografía/Autobiografía,336
a moveable feast,99285045,9780099285040.0,Biografía/Autobiografía,190
"a murder is announced (miss marple, #5)",1579126294,9781579126290.0,Thriller/Misterio,320
a new earth: awakening to your life's purpose,452287588,9780452287590.0,Desarrollo personal,336
a new hope  (star wars: novelizations #4),1857239407,9781857239410.0,Ciencia ficción,224
"a new song (mitford years, #5)",014303507X,9780143035080.0,Religión y espiritualidad,560
a night to remember,805077642,9780805077640.0,Historia,234
a northern light,152053107,9780152053110.0,Ficción histórica,390
a painted house,385337930,9780385337940.0,Desconocido,388
a passage to india,014144116X,9780141441160.0,Literatura clásica,368
a people's history of the united states,60838655,9780060838650.0,Historia,729
"a perfect blood (the hollows, #10)",61957895,9780061957900.0,Fantasía,480
"a perfect evil (maggie o'dell, #1)",778322335,9780778322340.0,Thriller/Misterio,416
a perfect spy,743457927,9780743457930.0,Thriller/Misterio,784
a piece of cake,1400052297,9781400052300.0,Biografía/Autobiografía,336
a place called freedom,449225151,9780449225160.0,Ficción histórica,496
a place called here,7198914,9780007198920.0,Fantasía,400
"a pocket full of rye (miss marple, #7)",451199863,9780451199870.0,Thriller/Misterio,224
a pocket for corduroy,067056172X,9780670561730.0,Literatura infantil,32
a portrait of the artist as a young man,142437344,9780142437350.0,Literatura clásica,320
a prayer for owen meany,552135399,9780552135400.0,Literatura clásica,617
"a princess of mars (barsoom, #1)",143104888,9780143104890.0,Ciencia ficción,256
a prisoner of birth,312379293,9780312379290.0,Thriller/Misterio,594
"a quest of heroes (the sorcerer's ring, #1)",,,Fantasía,229
a quick bite (argeneau #1),60773758,9780060773760.0,Romance,384
a raisin in the sun,375508333,9780375508330.0,Teatro,160
a random walk down wall street,393325350,9780393325360.0,Negocios y economía,480
"a red herring without mustard (flavia de luce, #3)",385342322,9780385342320.0,Thriller/Misterio,384
a redbird christmas,345480260,9780345480260.0,Desconocido,227
a reliable wife,1565125967,9781565125960.0,Ficción histórica,322
"a return to love: reflections on the principles of ""a course in miracles""",60927488,9780060927490.0,Desarrollo personal,336
"a ring of endless light (austin family, #4)",440910811,9780440910820.0,Juvenil (Young Adult - YA),368
a river runs through it and other stories,226500667,9780226500670.0,Literatura clásica,232
"a rogue by any other name (the rules of scoundrels, #1)",62068520,9780062068520.0,Romance,384
a room of one's own,141183535,9780141183530.0,Ensayo,112
a room with a view,1420925431,9781420925430.0,Literatura clásica,180
a rose for emily and other stories,675093244,9780675093250.0,Literatura clásica,135
"a rule against murder (chief inspector armand gamache, #4)",312377029,9780312377020.0,Thriller/Misterio,320
a sand county almanac and sketches here and there,195007778,9780195007770.0,Ciencia,228
"a scandal in bohemia (the adventures of sherlock holmes, #1)",582416396,9780582416390.0,Thriller/Misterio,48
a scanner darkly,057507681X,9780575076820.0,Ciencia ficción,219
a secret kept,312593317,9780312593320.0,Thriller/Misterio,304
a separate peace,743253973,9780743253970.0,Literatura clásica,208
a separate reality,671732498,9780671732490.0,Filosofía,313
a series of unfortunate events box: the complete wreck (books 1-13),61119067,9780061119060.0,Juvenil (Young Adult - YA),3248
"a severe mercy: a story of faith, tragedy and triumph",60688246,9780060688240.0,Biografía/Autobiografía,272
"a shade of blood (a shade of vampire, #2)",,,Fantasía,318
"a shade of vampire (a shade of vampire, #1)",1481280767,9781481280760.0,Fantasía,338
"a shadow of light (a shade of vampire, #4)",,,Fantasía,288
a short history of nearly everything,076790818X,9780767908180.0,Ciencia,544
a short history of tractors in ukrainian,141020520,9780141020520.0,Desconocido,304
a sick day for amos mcgee,1596434023,9781596434030.0,Literatura infantil,32
a simple plan,307279952,9780307279960.0,Thriller/Misterio,335
a single man,816638624,9780816638630.0,Literatura clásica,186
a single shard,440418518,9780440418510.0,Ficción histórica,160
a son of the circus,345915623,9780345915630.0,Desconocido,633
"a song of ice and fire (a song of ice and fire, #1-4)",345529057,9780345529050.0,Fantasía,3456
"a song of ice and fire (a song of ice and fire, #1-5)",1780484259,9781780484260.0,Fantasía,5216
a spell for chameleon (xanth #1),034525855X,9780345258560.0,Fantasía,344
a spool of blue thread,385683421,9780385683420.0,Desconocido,358
a spot of bother,385520514,9780385520520.0,Desconocido,384
a stolen life,1451629184,9781451629190.0,Biografía/Autobiografía,288
"a storm of swords (a song of ice and fire, #3)",055357342X,9780553573430.0,Fantasía,1128
"a storm of swords: blood and gold (a song of ice and fire, #3: part 2 of 2)",7119550,9780007119550.0,Fantasía,672
"a storm of swords: steel and snow (a song of ice and fire, #3: part 1 of 2)",6479901,9780006479900.0,Fantasía,624
a stranger in the mirror,6471250,9780006471260.0,Thriller/Misterio,384
a stranger is watching,743484371,9780743484370.0,Thriller/Misterio,384
a street cat named bob: how one man and his cat found hope on the streets,1444737090,9781444737100.0,Biografía/Autobiografía,279
a streetcar named desire,822210894,9780822210890.0,Teatro,107
"a stroke of midnight (merry gentry, #4)",345443608,9780345443600.0,Fantasía,400
a study in scarlet,1420925539,9781420925530.0,Thriller/Misterio,108
"a suitable boy (a suitable boy, #1)",60786523,9780060786530.0,Ficción histórica,1474
a summer affair,316018600,9780316018610.0,Romance,384
a supposedly fun thing i'll never do again:  essays and arguments,316925284,9780316925280.0,Ensayo,368
"a swiftly tilting planet (a wrinkle in time quintet, #3)",440401585,9780440401580.0,Juvenil (Young Adult - YA),278
"a tale dark & grimm (a tale dark & grimm, #1)",525423346,9780525423350.0,Juvenil (Young Adult - YA),256
a tale for the time being,670026638,9780670026630.0,Desconocido,422
a tale of two cities,141439602,9780141439600.0,Literatura clásica,489
a tale of two cities / great expectations,142196584,9780142196590.0,Literatura clásica,800
a theory of justice,674017722,9780674017730.0,Filosofía,560
a thousand acres,1400033837,9781400033840.0,Literatura clásica,371
a thousand boy kisses,,,Romance,352
"a thousand pieces of you (firebird, #1)",62278967,9780062278970.0,Ciencia ficción,368
a thousand splendid suns,1594489505,9781594489500.0,Ficción histórica,372
a time to kill,385338600,9780385338610.0,Thriller/Misterio,678
"a torch against the night (an ember in the ashes, #2)",,9780008250450.0,Fantasía,452
"a total waste of makeup (charlize edwards, #1)",031234872X,9780312348720.0,Romance,304
"a touch of dead (sookie stackhouse, #4.1, #4.3, #5.1, #7.1, #8.1)",441017835,9780441017840.0,Fantasía,192
a town like alice,1842323008,9781842323010.0,Ficción histórica,359
a tree grows in brooklyn,61120073,9780061120080.0,Literatura clásica,493
"a trick of the light (chief inspector armand gamache, #7)",312655452,9780312655460.0,Thriller/Misterio,384
a twist in the tale,312933525,9780312933520.0,Thriller/Misterio,272
a universe from nothing: why there is something rather than nothing,145162445X,9781451624460.0,Ciencia,204
a vintage affair,7245823,9780007245830.0,Romance,320
a virtuous woman,375703063,9780375703060.0,Desconocido,180
a visit from the goon squad,307592839,9780307592840.0,Desconocido,288
"a voice in the wind (mark of the lion, #1)",842377506,9780842377510.0,Ficción histórica,517
a walk across america,006095955X,9780060959560.0,Viajes y guías,368
a walk across the sun,1402792808,9781402792810.0,Thriller/Misterio,340
a walk in the woods,307279464,9780307279460.0,Viajes y guías,397
a walk to remember,446693804,9780446693810.0,Romance,240
"a wanted man (jack reacher, #17)",307749606,9780307749600.0,Thriller/Misterio,405
"a war of gifts (ender's saga, #1.1)",765312824,9780765312820.0,Ciencia ficción,128
a wedding in december,316154512,9780316154510.0,Romance,352
a week in winter,140911399X,9781409114000.0,Desconocido,400
"a week to be wicked (spindle cove, #2)",62049879,9780062049870.0,Romance,384
a whole new mind: why right-brainers will rule the future,1594481717,9781594481710.0,Psicología,288
a widow for one year,345469011,9780345469010.0,Desconocido,576
"a wild sheep chase (the rat, #3)",037571894X,9780375718950.0,Fantasía,353
"a wind in the door (a wrinkle in time quintet, #2)",,9780440487620.0,Juvenil (Young Adult - YA),203
a window opens,1501105434,9781501105430.0,Desconocido,384
"a wizard of earthsea (earthsea cycle, #1)",553383043,9780553383040.0,Fantasía,183
a wolf at the table,312342020,9780312342030.0,Biografía/Autobiografía,240
a woman after god's own heart,736918833,9780736918830.0,Religión y espiritualidad,304
a woman of substance (emma harte saga #1),031235326X,9780312353260.0,Ficción histórica,864
a work in progress,1476791619,9781476791620.0,Biografía/Autobiografía,224
"a world without heroes (beyonders, #1)",141699792X,9781416997920.0,Fantasía,464
"a wrinkle in time (a wrinkle in time quintet, #1)",440498058,9780440498060.0,Juvenil (Young Adult - YA),211
a wrinkle in time: the graphic novel,374386153,9780374386150.0,Juvenil (Young Adult - YA),392
"a year down yonder (a long way from chicago, #2)",142300705,9780142300700.0,Juvenil (Young Adult - YA),130
a year in provence,679731148,9780679731150.0,Viajes y guías,207
a year in the merde,1582346178,9781582346180.0,Humor (No listado),304
a yellow raft in blue water,312421850,9780312421850.0,Desconocido,368
"a is for alibi (kinsey millhone, #1)",312938993,9780312938990.0,Thriller/Misterio,292
a. lincoln,1400064996,9781400064990.0,Biografía/Autobiografía,800
abnkkbsnplako?! (mga kwentong chalk ni bob ong),9719234202,9789719234200.0,Biografía/Autobiografía,260
"abaddon's gate (the expanse, #3)",316129070,9780316129080.0,Ciencia ficción,539
abandon,312537409,9780312537400.0,Thriller/Misterio,320
"abandon (abandon, #1)",545284104,9780545284100.0,Juvenil (Young Adult - YA),469
"abarat (abarat, #1)",64407330,9780064407340.0,Fantasía,400
abducted (lizzy gardner #1),,,Thriller/Misterio,322
"abhorsen (abhorsen, #3)",60278250,9780060278250.0,Fantasía,358
"about that night (fbi/us attorney, #3)",425246957,9780425246960.0,Romance,304
about a boy,140285679,9780140285670.0,Desconocido,307
abraham lincoln: vampire hunter,446563080,9780446563090.0,Fantasía,336
"absalom, absalom!",679732187,9780679732180.0,Literatura clásica,313
absent in the spring,6499473,9780006499470.0,Romance,192
"absolute boyfriend, vol. 1",1421500167,9781421500160.0,Romance,200
"absolute fear (new orleans, #4)",758211821,9780758211830.0,Thriller/Misterio,432
absolute power,330419641,9780330419640.0,Thriller/Misterio,528
absolution gap,441012914,9780441012920.0,Ciencia ficción,688
absurdistan,812971671,9780812971680.0,Desconocido,388
"academ's fury (codex alera, #2)",441013406,9780441013400.0,Fantasía,592
accelerando (singularity),441014151,9780441014160.0,Ciencia ficción,416
"acceptance (southern reach, #3)",374104115,9780374104120.0,Ciencia ficción,341
accident,440243394,9780440243400.0,Thriller/Misterio,384
"accidentally on purpose (accidentally on purpose, #1)",,,Romance,384
"accordance (significance, #2)",,,Juvenil (Young Adult - YA),308
acheron (dark-hunter #14),312362153,9780312362160.0,Fantasía,789
"across the nightingale floor (tales of the otori, #1)",1573223328,9781573223320.0,Fantasía,305
"across the universe (across the universe, #1)",1595143971,9781595143980.0,Ciencia ficción,399
"act like a lady, think like a man: what men really think about love, relationships, intimacy, and commitment",61728977,9780061728980.0,Desarrollo personal,240
"act of treason (mitch rapp, #9)",743270371,9780743270370.0,Thriller/Misterio,416
adam,1595540075,9781595540070.0,Religión y espiritualidad,368
adam bede,375759018,9780375759020.0,Literatura clásica,594
addicted,743442849,9780743442850.0,Romance,400
"addicted to you (addicted, #1)",,,Romance,200
adrift: seventy-six days lost at sea,618257322,9780618257320.0,Aventuras,240
adultery,1101874082,9781101874080.0,Desconocido,292
"adulthood is a myth (sarah's scribbles, #1)",1449474195,9781449474200.0,Humor (No listado),112
aesop's fables,192840509,9780192840510.0,Literatura clásica,240
affinity,1573228737,9781573228730.0,Ficción histórica,352
"affliction (anita blake, vampire hunter #22)",425255700,9780425255700.0,Fantasía,560
after,670011835,9780670011830.0,Juvenil (Young Adult - YA),368
